gender,indicator_name,country_name,year,mean_age
men,Mean age of men at first marriage,Belgium,2009,31.1
men,Mean age of men at first marriage,Belgium,2010,31
men,Mean age of men at first marriage,Belgium,2011,31.3
men,Mean age of men at first marriage,Belgium,2012,31.6
men,Mean age of men at first marriage,Belgium,2013,31.8
men,Mean age of men at first marriage,Belgium,2014,32.1
men,Mean age of men at first marriage,Belgium,2015,32.3
men,Mean age of men at first marriage,Belgium,2016,NA
men,Mean age of men at first marriage,Belgium,2017,NA
men,Mean age of men at first marriage,Belgium,2018,NA
men,Mean age of men at first marriage,Belgium,2019,NA
men,Mean age of men at first marriage,Belgium,2020,NA
men,Mean age of men at first marriage,Bosnia and Herzegovina,2005,28.1
men,Mean age of men at first marriage,Bosnia and Herzegovina,2006,28.3
men,Mean age of men at first marriage,Bosnia and Herzegovina,2007,28.3
men,Mean age of men at first marriage,Bosnia and Herzegovina,2008,28.3
men,Mean age of men at first marriage,Bosnia and Herzegovina,2009,28.3
men,Mean age of men at first marriage,Bosnia and Herzegovina,2010,28.9
men,Mean age of men at first marriage,Bosnia and Herzegovina,2011,29.1
men,Mean age of men at first marriage,Bosnia and Herzegovina,2012,29.3
men,Mean age of men at first marriage,Bosnia and Herzegovina,2013,29.6
men,Mean age of men at first marriage,Bosnia and Herzegovina,2014,29.6
men,Mean age of men at first marriage,Bosnia and Herzegovina,2015,29.5
men,Mean age of men at first marriage,Bosnia and Herzegovina,2016,29.4
men,Mean age of men at first marriage,Bosnia and Herzegovina,2017,29.5
men,Mean age of men at first marriage,Bosnia and Herzegovina,2018,29.7
men,Mean age of men at first marriage,Bosnia and Herzegovina,2019,29.5
men,Mean age of men at first marriage,Bosnia and Herzegovina,2020,NA
men,Mean age of men at first marriage,Bulgaria,2005,29.1
men,Mean age of men at first marriage,Bulgaria,2006,29.3
men,Mean age of men at first marriage,Bulgaria,2007,29
men,Mean age of men at first marriage,Bulgaria,2008,29.3
men,Mean age of men at first marriage,Bulgaria,2009,29.6
men,Mean age of men at first marriage,Bulgaria,2010,30
men,Mean age of men at first marriage,Bulgaria,2011,30.1
men,Mean age of men at first marriage,Bulgaria,2012,30.2
men,Mean age of men at first marriage,Bulgaria,2013,30.3
men,Mean age of men at first marriage,Bulgaria,2014,30.6
men,Mean age of men at first marriage,Bulgaria,2015,30.9
men,Mean age of men at first marriage,Bulgaria,2016,31.1
men,Mean age of men at first marriage,Bulgaria,2017,31.4
men,Mean age of men at first marriage,Bulgaria,2018,31.7
men,Mean age of men at first marriage,Bulgaria,2019,32
men,Mean age of men at first marriage,Bulgaria,2020,NA
men,Mean age of men at first marriage,Canada,2005,NA
men,Mean age of men at first marriage,Canada,2006,NA
men,Mean age of men at first marriage,Canada,2007,NA
men,Mean age of men at first marriage,Canada,2008,NA
men,Mean age of men at first marriage,Canada,2009,NA
men,Mean age of men at first marriage,Canada,2010,NA
men,Mean age of men at first marriage,Canada,2011,NA
men,Mean age of men at first marriage,Canada,2012,NA
men,Mean age of men at first marriage,Canada,2013,NA
men,Mean age of men at first marriage,Canada,2014,NA
men,Mean age of men at first marriage,Canada,2015,NA
men,Mean age of men at first marriage,Canada,2016,NA
men,Mean age of men at first marriage,Canada,2017,NA
men,Mean age of men at first marriage,Canada,2018,NA
men,Mean age of men at first marriage,Canada,2019,NA
men,Mean age of men at first marriage,Canada,2020,NA
men,Mean age of men at first marriage,Croatia,2005,29.3
men,Mean age of men at first marriage,Croatia,2006,29.5
men,Mean age of men at first marriage,Croatia,2007,29.7
men,Mean age of men at first marriage,Croatia,2008,29.7
men,Mean age of men at first marriage,Croatia,2009,29.8
men,Mean age of men at first marriage,Croatia,2010,30.1
men,Mean age of men at first marriage,Croatia,2011,30.4
men,Mean age of men at first marriage,Croatia,2012,30
men,Mean age of men at first marriage,Croatia,2013,31
men,Mean age of men at first marriage,Croatia,2014,31
men,Mean age of men at first marriage,Croatia,2015,31
men,Mean age of men at first marriage,Croatia,2016,31.1
men,Mean age of men at first marriage,Croatia,2017,31.3
men,Mean age of men at first marriage,Croatia,2018,31.3
men,Mean age of men at first marriage,Croatia,2019,31.5
men,Mean age of men at first marriage,Croatia,2020,NA
men,Mean age of men at first marriage,Cyprus,2005,29.6
men,Mean age of men at first marriage,Cyprus,2006,30.5
men,Mean age of men at first marriage,Cyprus,2007,30.6
men,Mean age of men at first marriage,Cyprus,2008,30.5
men,Mean age of men at first marriage,Cyprus,2009,30.6
men,Mean age of men at first marriage,Cyprus,2010,31.1
men,Mean age of men at first marriage,Cyprus,2011,31.4
men,Mean age of men at first marriage,Cyprus,2012,30.9
men,Mean age of men at first marriage,Cyprus,2013,31.1
men,Mean age of men at first marriage,Cyprus,2014,31.4
men,Mean age of men at first marriage,Cyprus,2015,31.6
men,Mean age of men at first marriage,Cyprus,2016,30.7
men,Mean age of men at first marriage,Cyprus,2017,31.5
men,Mean age of men at first marriage,Cyprus,2018,31.1
men,Mean age of men at first marriage,Cyprus,2019,30.7
men,Mean age of men at first marriage,Cyprus,2020,NA
men,Mean age of men at first marriage,Czechia,2005,30.8
men,Mean age of men at first marriage,Czechia,2006,31
men,Mean age of men at first marriage,Czechia,2007,31.2
men,Mean age of men at first marriage,Czechia,2008,31.4
men,Mean age of men at first marriage,Czechia,2009,32
men,Mean age of men at first marriage,Czechia,2010,32.2
men,Mean age of men at first marriage,Czechia,2011,32.2
men,Mean age of men at first marriage,Czechia,2012,32.3
men,Mean age of men at first marriage,Czechia,2013,32.3
men,Mean age of men at first marriage,Czechia,2014,32.3
men,Mean age of men at first marriage,Czechia,2015,32.4
men,Mean age of men at first marriage,Czechia,2016,32.2
men,Mean age of men at first marriage,Czechia,2017,32.2
men,Mean age of men at first marriage,Czechia,2018,NA
men,Mean age of men at first marriage,Czechia,2019,NA
men,Mean age of men at first marriage,Czechia,2020,NA
men,Mean age of men at first marriage,Denmark,2005,33.9
men,Mean age of men at first marriage,Denmark,2006,34
men,Mean age of men at first marriage,Denmark,2007,34.2
men,Mean age of men at first marriage,Denmark,2008,34.4
men,Mean age of men at first marriage,Denmark,2009,34.1
men,Mean age of men at first marriage,Denmark,2010,34.2
men,Mean age of men at first marriage,Denmark,2011,34.4
men,Mean age of men at first marriage,Denmark,2012,34.8
men,Mean age of men at first marriage,Denmark,2013,34.9
men,Mean age of men at first marriage,Denmark,2014,34.8
men,Mean age of men at first marriage,Denmark,2015,34.5
men,Mean age of men at first marriage,Denmark,2016,34.8
men,Mean age of men at first marriage,Denmark,2017,34.9
men,Mean age of men at first marriage,Denmark,2018,34.9
men,Mean age of men at first marriage,Denmark,2019,35
men,Mean age of men at first marriage,Denmark,2020,35.2
men,Mean age of men at first marriage,Estonia,2005,28.8
men,Mean age of men at first marriage,Estonia,2006,29
men,Mean age of men at first marriage,Estonia,2007,29.4
men,Mean age of men at first marriage,Estonia,2008,29.6
men,Mean age of men at first marriage,Estonia,2009,30.1
men,Mean age of men at first marriage,Estonia,2010,30.4
men,Mean age of men at first marriage,Estonia,2011,30.8
men,Mean age of men at first marriage,Estonia,2012,31
men,Mean age of men at first marriage,Estonia,2013,30.8
men,Mean age of men at first marriage,Estonia,2014,31.1
men,Mean age of men at first marriage,Estonia,2015,31.6
men,Mean age of men at first marriage,Estonia,2016,31.9
men,Mean age of men at first marriage,Estonia,2017,32.1
men,Mean age of men at first marriage,Estonia,2018,32.1
men,Mean age of men at first marriage,Estonia,2019,32.3
men,Mean age of men at first marriage,Estonia,2020,NA
men,Mean age of men at first marriage,Finland,2005,31.8
men,Mean age of men at first marriage,Finland,2006,32.1
men,Mean age of men at first marriage,Finland,2007,32.3
men,Mean age of men at first marriage,Finland,2008,32.5
men,Mean age of men at first marriage,Finland,2009,32.5
men,Mean age of men at first marriage,Finland,2010,32.6
men,Mean age of men at first marriage,Finland,2011,32.9
men,Mean age of men at first marriage,Finland,2012,33.1
men,Mean age of men at first marriage,Finland,2013,32.8
men,Mean age of men at first marriage,Finland,2014,32.9
men,Mean age of men at first marriage,Finland,2015,33.4
men,Mean age of men at first marriage,Finland,2016,33.7
men,Mean age of men at first marriage,Finland,2017,33.9
men,Mean age of men at first marriage,Finland,2018,339
men,Mean age of men at first marriage,Finland,2019,34.2
men,Mean age of men at first marriage,Finland,2020,NA
men,Mean age of men at first marriage,France,2005,31.1
men,Mean age of men at first marriage,France,2006,31.2
men,Mean age of men at first marriage,France,2007,31.4
men,Mean age of men at first marriage,France,2008,31.6
men,Mean age of men at first marriage,France,2009,31.7
men,Mean age of men at first marriage,France,2010,31.8
men,Mean age of men at first marriage,France,2011,NA
men,Mean age of men at first marriage,France,2012,NA
men,Mean age of men at first marriage,France,2013,NA
men,Mean age of men at first marriage,France,2014,NA
men,Mean age of men at first marriage,France,2015,NA
men,Mean age of men at first marriage,France,2016,NA
men,Mean age of men at first marriage,France,2017,NA
men,Mean age of men at first marriage,France,2018,NA
men,Mean age of men at first marriage,France,2019,NA
men,Mean age of men at first marriage,France,2020,NA
men,Mean age of men at first marriage,Georgia,2005,29.6
men,Mean age of men at first marriage,Georgia,2006,29.5
men,Mean age of men at first marriage,Georgia,2007,29.5
men,Mean age of men at first marriage,Georgia,2008,28.8
men,Mean age of men at first marriage,Georgia,2009,28.8
men,Mean age of men at first marriage,Georgia,2010,29.5
men,Mean age of men at first marriage,Georgia,2011,29.4
men,Mean age of men at first marriage,Georgia,2012,29.8
men,Mean age of men at first marriage,Georgia,2013,30.1
men,Mean age of men at first marriage,Georgia,2014,30
men,Mean age of men at first marriage,Georgia,2015,30
men,Mean age of men at first marriage,Georgia,2016,30.1
men,Mean age of men at first marriage,Georgia,2017,30.2
men,Mean age of men at first marriage,Georgia,2018,30.4
men,Mean age of men at first marriage,Georgia,2019,30.7
men,Mean age of men at first marriage,Georgia,2020,NA
men,Mean age of men at first marriage,Germany,2005,32.6
men,Mean age of men at first marriage,Germany,2006,32.6
men,Mean age of men at first marriage,Germany,2007,32.7
men,Mean age of men at first marriage,Germany,2008,33
men,Mean age of men at first marriage,Germany,2009,33.1
men,Mean age of men at first marriage,Germany,2010,33.2
men,Mean age of men at first marriage,Germany,2011,33.3
men,Mean age of men at first marriage,Germany,2012,33.5
men,Mean age of men at first marriage,Germany,2013,33.6
men,Mean age of men at first marriage,Germany,2014,33.7
men,Mean age of men at first marriage,Germany,2015,33.8
men,Mean age of men at first marriage,Germany,2016,34
men,Mean age of men at first marriage,Germany,2017,34.2
men,Mean age of men at first marriage,Germany,2018,34.4
men,Mean age of men at first marriage,Germany,2019,34.5
men,Mean age of men at first marriage,Germany,2020,NA
men,Mean age of men at first marriage,Greece,2005,31.6
men,Mean age of men at first marriage,Greece,2006,31.9
men,Mean age of men at first marriage,Greece,2007,32.3
men,Mean age of men at first marriage,Greece,2008,32
men,Mean age of men at first marriage,Greece,2009,32.2
men,Mean age of men at first marriage,Greece,2010,32.3
men,Mean age of men at first marriage,Greece,2011,32.3
men,Mean age of men at first marriage,Greece,2012,32.3
men,Mean age of men at first marriage,Greece,2013,32.4
men,Mean age of men at first marriage,Greece,2014,32.5
men,Mean age of men at first marriage,Greece,2015,32.7
men,Mean age of men at first marriage,Greece,2016,32.7
men,Mean age of men at first marriage,Greece,2017,32.9
men,Mean age of men at first marriage,Greece,2018,NA
men,Mean age of men at first marriage,Greece,2019,NA
men,Mean age of men at first marriage,Greece,2020,NA
men,Mean age of men at first marriage,Hungary,2005,29.3
men,Mean age of men at first marriage,Hungary,2006,29.7
men,Mean age of men at first marriage,Hungary,2007,30.1
men,Mean age of men at first marriage,Hungary,2008,30.4
men,Mean age of men at first marriage,Hungary,2009,31
men,Mean age of men at first marriage,Hungary,2010,31.4
men,Mean age of men at first marriage,Hungary,2011,31.8
men,Mean age of men at first marriage,Hungary,2012,31.9
men,Mean age of men at first marriage,Hungary,2013,32.3
men,Mean age of men at first marriage,Hungary,2014,32.5
men,Mean age of men at first marriage,Hungary,2015,32.4
men,Mean age of men at first marriage,Hungary,2016,32.5
men,Mean age of men at first marriage,Hungary,2017,32.7
men,Mean age of men at first marriage,Hungary,2018,32.8
men,Mean age of men at first marriage,Hungary,2019,32.8
men,Mean age of men at first marriage,Hungary,2020,NA
men,Mean age of men at first marriage,Iceland,2005,33.6
men,Mean age of men at first marriage,Iceland,2006,33.9
men,Mean age of men at first marriage,Iceland,2007,34
men,Mean age of men at first marriage,Iceland,2008,34.1
men,Mean age of men at first marriage,Iceland,2009,34.3
men,Mean age of men at first marriage,Iceland,2010,34.2
men,Mean age of men at first marriage,Iceland,2011,34.6
men,Mean age of men at first marriage,Iceland,2012,NA
men,Mean age of men at first marriage,Iceland,2013,NA
men,Mean age of men at first marriage,Iceland,2014,NA
men,Mean age of men at first marriage,Iceland,2015,NA
men,Mean age of men at first marriage,Iceland,2016,NA
men,Mean age of men at first marriage,Iceland,2017,NA
men,Mean age of men at first marriage,Iceland,2018,NA
men,Mean age of men at first marriage,Iceland,2019,NA
men,Mean age of men at first marriage,Iceland,2020,NA
men,Mean age of men at first marriage,Ireland,2005,32
men,Mean age of men at first marriage,Ireland,2006,32.1
men,Mean age of men at first marriage,Ireland,2007,32.3
men,Mean age of men at first marriage,Ireland,2008,32.5
men,Mean age of men at first marriage,Ireland,2009,32.7
men,Mean age of men at first marriage,Ireland,2010,32.8
men,Mean age of men at first marriage,Ireland,2011,33.2
men,Mean age of men at first marriage,Ireland,2012,33.3
men,Mean age of men at first marriage,Ireland,2013,33.6
men,Mean age of men at first marriage,Ireland,2014,33.7
men,Mean age of men at first marriage,Ireland,2015,33.9
men,Mean age of men at first marriage,Ireland,2016,33.9
men,Mean age of men at first marriage,Ireland,2017,34.1
men,Mean age of men at first marriage,Ireland,2018,34.4
men,Mean age of men at first marriage,Ireland,2019,34.6
men,Mean age of men at first marriage,Ireland,2020,NA
men,Mean age of men at first marriage,Israel,2005,32.3
men,Mean age of men at first marriage,Israel,2006,32.3
men,Mean age of men at first marriage,Israel,2007,32.2
men,Mean age of men at first marriage,Israel,2008,32.1
men,Mean age of men at first marriage,Israel,2009,31.5
men,Mean age of men at first marriage,Israel,2010,31.5
men,Mean age of men at first marriage,Israel,2011,31.4
men,Mean age of men at first marriage,Israel,2012,31.5
men,Mean age of men at first marriage,Israel,2013,31.3
men,Mean age of men at first marriage,Israel,2014,31.1
men,Mean age of men at first marriage,Israel,2015,31.1
men,Mean age of men at first marriage,Israel,2016,30.9
men,Mean age of men at first marriage,Israel,2017,30.8
men,Mean age of men at first marriage,Israel,2018,30.6
men,Mean age of men at first marriage,Israel,2019,NA
men,Mean age of men at first marriage,Israel,2020,NA
men,Mean age of men at first marriage,Italy,2005,31.6
men,Mean age of men at first marriage,Italy,2006,31.8
men,Mean age of men at first marriage,Italy,2007,31.9
men,Mean age of men at first marriage,Italy,2008,32.1
men,Mean age of men at first marriage,Italy,2009,32.2
men,Mean age of men at first marriage,Italy,2010,32.5
men,Mean age of men at first marriage,Italy,2011,32.6
men,Mean age of men at first marriage,Italy,2012,32.7
men,Mean age of men at first marriage,Italy,2013,33
men,Mean age of men at first marriage,Italy,2014,33.1
men,Mean age of men at first marriage,Italy,2015,33.3
men,Mean age of men at first marriage,Italy,2016,33.4
men,Mean age of men at first marriage,Italy,2017,33.6
men,Mean age of men at first marriage,Italy,2018,33.7
men,Mean age of men at first marriage,Italy,2019,NA
men,Mean age of men at first marriage,Italy,2020,NA
men,Mean age of men at first marriage,Kazakhstan,2005,27
men,Mean age of men at first marriage,Kazakhstan,2006,26.9
men,Mean age of men at first marriage,Kazakhstan,2007,26.8
men,Mean age of men at first marriage,Kazakhstan,2008,26.8
men,Mean age of men at first marriage,Kazakhstan,2009,26.9
men,Mean age of men at first marriage,Kazakhstan,2010,27
men,Mean age of men at first marriage,Kazakhstan,2011,26.9
men,Mean age of men at first marriage,Kazakhstan,2012,26.9
men,Mean age of men at first marriage,Kazakhstan,2013,27
men,Mean age of men at first marriage,Kazakhstan,2014,27.1
men,Mean age of men at first marriage,Kazakhstan,2015,27.2
men,Mean age of men at first marriage,Kazakhstan,2016,27.3
men,Mean age of men at first marriage,Kazakhstan,2017,27.5
men,Mean age of men at first marriage,Kazakhstan,2018,27.6
men,Mean age of men at first marriage,Kazakhstan,2019,27.6
men,Mean age of men at first marriage,Kazakhstan,2020,NA
men,Mean age of men at first marriage,Kyrgyzstan,2005,26.6
men,Mean age of men at first marriage,Kyrgyzstan,2006,26.8
men,Mean age of men at first marriage,Kyrgyzstan,2007,26.8
men,Mean age of men at first marriage,Kyrgyzstan,2008,26.7
men,Mean age of men at first marriage,Kyrgyzstan,2009,26.8
men,Mean age of men at first marriage,Kyrgyzstan,2010,26.9
men,Mean age of men at first marriage,Kyrgyzstan,2011,26.8
men,Mean age of men at first marriage,Kyrgyzstan,2012,26.8
men,Mean age of men at first marriage,Kyrgyzstan,2013,26.7
men,Mean age of men at first marriage,Kyrgyzstan,2014,26.7
men,Mean age of men at first marriage,Kyrgyzstan,2015,26.9
men,Mean age of men at first marriage,Kyrgyzstan,2016,27.1
men,Mean age of men at first marriage,Kyrgyzstan,2017,27.1
men,Mean age of men at first marriage,Kyrgyzstan,2018,27.2
men,Mean age of men at first marriage,Kyrgyzstan,2019,27.2
men,Mean age of men at first marriage,Kyrgyzstan,2020,NA
men,Mean age of men at first marriage,Latvia,2005,27.7
men,Mean age of men at first marriage,Latvia,2006,27.9
men,Mean age of men at first marriage,Latvia,2007,28
men,Mean age of men at first marriage,Latvia,2008,28.3
men,Mean age of men at first marriage,Latvia,2009,28.8
men,Mean age of men at first marriage,Latvia,2010,28.9
men,Mean age of men at first marriage,Latvia,2011,29.2
men,Mean age of men at first marriage,Latvia,2012,29.6
men,Mean age of men at first marriage,Latvia,2013,29.9
men,Mean age of men at first marriage,Latvia,2014,30.3
men,Mean age of men at first marriage,Latvia,2015,30.8
men,Mean age of men at first marriage,Latvia,2016,31
men,Mean age of men at first marriage,Latvia,2017,31.6
men,Mean age of men at first marriage,Latvia,2018,32
men,Mean age of men at first marriage,Latvia,2019,32.7
men,Mean age of men at first marriage,Latvia,2020,NA
men,Mean age of men at first marriage,Liechtenstein,2005,32.2
men,Mean age of men at first marriage,Liechtenstein,2006,31.3
men,Mean age of men at first marriage,Liechtenstein,2007,32.3
men,Mean age of men at first marriage,Liechtenstein,2008,32.2
men,Mean age of men at first marriage,Liechtenstein,2009,33.3
men,Mean age of men at first marriage,Liechtenstein,2010,32.6
men,Mean age of men at first marriage,Liechtenstein,2011,32.5
men,Mean age of men at first marriage,Liechtenstein,2012,33.4
men,Mean age of men at first marriage,Liechtenstein,2013,33.2
men,Mean age of men at first marriage,Liechtenstein,2014,33
men,Mean age of men at first marriage,Liechtenstein,2015,33.6
men,Mean age of men at first marriage,Liechtenstein,2016,33.1
men,Mean age of men at first marriage,Liechtenstein,2017,33.8
men,Mean age of men at first marriage,Liechtenstein,2018,33.5
men,Mean age of men at first marriage,Liechtenstein,2019,33.9
men,Mean age of men at first marriage,Liechtenstein,2020,34.6
men,Mean age of men at first marriage,Lithuania,2005,27
men,Mean age of men at first marriage,Lithuania,2006,27.3
men,Mean age of men at first marriage,Lithuania,2007,27.7
men,Mean age of men at first marriage,Lithuania,2008,28
men,Mean age of men at first marriage,Lithuania,2009,28.5
men,Mean age of men at first marriage,Lithuania,2010,28.5
men,Mean age of men at first marriage,Lithuania,2011,28.8
men,Mean age of men at first marriage,Lithuania,2012,29
men,Mean age of men at first marriage,Lithuania,2013,29.3
men,Mean age of men at first marriage,Lithuania,2014,29.5
men,Mean age of men at first marriage,Lithuania,2015,29.7
men,Mean age of men at first marriage,Lithuania,2016,30
men,Mean age of men at first marriage,Lithuania,2017,30.2
men,Mean age of men at first marriage,Lithuania,2018,30.3
men,Mean age of men at first marriage,Lithuania,2019,30.7
men,Mean age of men at first marriage,Lithuania,2020,NA
men,Mean age of men at first marriage,Luxembourg,2005,31.4
men,Mean age of men at first marriage,Luxembourg,2006,31.8
men,Mean age of men at first marriage,Luxembourg,2007,32
men,Mean age of men at first marriage,Luxembourg,2008,32
men,Mean age of men at first marriage,Luxembourg,2009,32.3
men,Mean age of men at first marriage,Luxembourg,2010,32.6
men,Mean age of men at first marriage,Luxembourg,2011,32.7
men,Mean age of men at first marriage,Luxembourg,2012,32.6
men,Mean age of men at first marriage,Luxembourg,2013,32.4
men,Mean age of men at first marriage,Luxembourg,2014,32.7
men,Mean age of men at first marriage,Luxembourg,2015,34.5
men,Mean age of men at first marriage,Luxembourg,2016,33.4
men,Mean age of men at first marriage,Luxembourg,2017,33.6
men,Mean age of men at first marriage,Luxembourg,2018,34.1
men,Mean age of men at first marriage,Luxembourg,2019,34.3
men,Mean age of men at first marriage,Luxembourg,2020,NA
men,Mean age of men at first marriage,Malta,2005,NA
men,Mean age of men at first marriage,Malta,2006,28.6
men,Mean age of men at first marriage,Malta,2007,28.9
men,Mean age of men at first marriage,Malta,2008,29.8
men,Mean age of men at first marriage,Malta,2009,30
men,Mean age of men at first marriage,Malta,2010,29.9
men,Mean age of men at first marriage,Malta,2011,30.5
men,Mean age of men at first marriage,Malta,2012,NA
men,Mean age of men at first marriage,Malta,2013,NA
men,Mean age of men at first marriage,Malta,2014,NA
men,Mean age of men at first marriage,Malta,2015,NA
men,Mean age of men at first marriage,Malta,2016,NA
men,Mean age of men at first marriage,Malta,2017,NA
men,Mean age of men at first marriage,Malta,2018,NA
men,Mean age of men at first marriage,Malta,2019,NA
men,Mean age of men at first marriage,Malta,2020,NA
men,Mean age of men at first marriage,Montenegro,2005,31
men,Mean age of men at first marriage,Montenegro,2006,30.8
men,Mean age of men at first marriage,Montenegro,2007,30
men,Mean age of men at first marriage,Montenegro,2008,30
men,Mean age of men at first marriage,Montenegro,2009,30.6
men,Mean age of men at first marriage,Montenegro,2010,30.8
men,Mean age of men at first marriage,Montenegro,2011,31.1
men,Mean age of men at first marriage,Montenegro,2012,31.2
men,Mean age of men at first marriage,Montenegro,2013,31.3
men,Mean age of men at first marriage,Montenegro,2014,30.9
men,Mean age of men at first marriage,Montenegro,2015,31.3
men,Mean age of men at first marriage,Montenegro,2016,32.5
men,Mean age of men at first marriage,Montenegro,2017,31.5
men,Mean age of men at first marriage,Montenegro,2018,31.5
men,Mean age of men at first marriage,Montenegro,2019,31.1
men,Mean age of men at first marriage,Montenegro,2020,NA
men,Mean age of men at first marriage,Netherlands,2005,31.2
men,Mean age of men at first marriage,Netherlands,2006,31.3
men,Mean age of men at first marriage,Netherlands,2007,31.4
men,Mean age of men at first marriage,Netherlands,2008,31.6
men,Mean age of men at first marriage,Netherlands,2009,31.6
